round,main_accuracy,backdoor_accuracy,attack_active
1,0.1173,0.0000,0
2,0.1437,0.0000,0
3,0.2767,0.0000,0
4,0.3788,0.0000,0
5,0.4338,0.0000,0
6,0.4989,0.0000,0
7,0.5473,0.0000,0
8,0.5907,0.0000,0
9,0.6331,0.0000,0
10,0.6728,0.0000,0
11,0.7040,0.0000,0
12,0.7300,0.0000,0
13,0.7452,0.0000,0
14,0.7694,0.0000,0
15,0.7935,0.0000,0
16,0.8110,0.0000,0
17,0.8233,0.0000,0
18,0.8431,0.0000,0
19,0.8520,0.0000,0
20,0.8674,0.0640,1
21,0.8675,0.0881,1
22,0.8786,0.1115,1
23,0.8789,0.1108,1
24,0.8793,0.1547,1
25,0.8863,0.1971,1
26,0.8937,0.2221,1
27,0.8914,0.2420,1
28,0.8907,0.2631,1
29,0.8989,0.2952,1
30,0.9011,0.2999,1
31,0.9031,0.3283,1
32,0.9010,0.3184,1
33,0.9040,0.3584,1
34,0.9066,0.3760,1
35,0.9074,0.3862,1
36,0.9091,0.4038,1
37,0.9086,0.3923,1
38,0.9104,0.4026,1
39,0.9132,0.4128,1
40,0.9109,0.4137,1
41,0.9139,0.4173,1
42,0.9158,0.4283,1
43,0.9174,0.4398,1
44,0.9176,0.4406,1
45,0.9151,0.4470,1
46,0.9188,0.4558,1
47,0.9191,0.4387,1
48,0.9217,0.4536,1
49,0.9219,0.4686,1
50,0.9207,0.4811,1
51,0.9227,0.4472,0
52,0.9228,0.4272,0
53,0.9243,0.4194,0
54,0.9249,0.4066,0
55,0.9235,0.4023,0
56,0.9244,0.3945,0
57,0.9255,0.3824,0
58,0.9250,0.3706,0
59,0.9258,0.3617,0
60,0.9275,0.3480,0
61,0.9295,0.3507,0
62,0.9296,0.3468,0
63,0.9298,0.3429,0
64,0.9281,0.3387,0
65,0.9315,0.3357,0
66,0.9295,0.3288,0
67,0.9300,0.3263,0
68,0.9317,0.3306,0
69,0.9313,0.3327,0
70,0.9303,0.3156,0
71,0.9315,0.3190,0
72,0.9314,0.3056,0
73,0.9295,0.3010,0
74,0.9318,0.2893,0
75,0.9314,0.2915,0
76,0.9301,0.2880,0
77,0.9326,0.2979,0
78,0.9337,0.2896,0
79,0.9321,0.2913,0
80,0.9317,0.2830,0
81,0.9342,0.2908,0
82,0.9329,0.2781,0
83,0.9351,0.2766,0
84,0.9329,0.2713,0
85,0.9348,0.2656,0
86,0.9343,0.2599,0
87,0.9321,0.2530,0
88,0.9344,0.2688,0
89,0.9342,0.2603,0
90,0.9338,0.2538,0
91,0.9331,0.2540,0
92,0.9359,0.2608,0
93,0.9344,0.2588,0
94,0.9359,0.2577,0
95,0.9359,0.2447,0
96,0.9355,0.2431,0
97,0.9355,0.2415,0
98,0.9351,0.2357,0
99,0.9371,0.2333,0
100,0.9382,0.2516,0
